	220		261		190
1500	-0.003446209012	--	--	1500	7.29990461E-6
1499	-0.003423762973	--	--	1499	3.567232852E-5
1498	-0.003313775873	--	--	1498	7.81763265E-6
1497	-0.003420270281	--	--	1497	5.796255209E-5
1496	-0.003364688717	--	--	1496	-1.12861353E-5
1495	-0.003382052295	--	--	1495	-5.17716262E-6
1494	-0.003382874187	--	--	1494	-6.11901196E-5
1493	-0.003456122009	--	--	1493	-8.132609946E-5
1492	-0.003414722625	--	--	1492	-5.870540917E-5
1491	-0.003359345952	--	--	1491	-5.404653712E-5
1490	-0.003386778291	--	--	1490	-6.538303569E-5
1489	-0.003303705482	--	--	1489	-2.236490036E-5
1488	-0.003334018402	--	--	1488	-7.796153659E-5
1487	-0.003321431112	--	--	1487	-5.249357127E-5
1486	-0.003280070145	--	--	1486	-1.021340213E-4
1485	-0.003346502548	--	--	1485	-9.215306818E-6
1484	-0.003300263081	--	--	1484	-1.962112037E-5
1483	-0.003324359655	--	--	1483	-1.35517781E-4
1482	-0.003344807308	--	--	1482	-2.157318377E-4
1481	-0.003324770601	--	--	1481	-3.180738131E-4
1480	-0.00329682068	--	--	1480	-3.44664295E-4
1479	-0.003275137395	--	--	1479	-3.049849183E-4
1478	-0.003417547792	--	--	1478	-2.600243606E-4
1477	-0.00339232618	--	--	1477	-2.076593519E-4
1476	-0.003355544526	--	--	1476	-1.845277438E-4
1475	-0.003329034895	--	--	1475	-1.831822447E-4
1474	-0.003317423631	--	--	1474	-1.184897992E-4
1473	-0.003310487606	--	--	1473	-8.717519086E-5
1472	-0.00342165702	--	--	1472	-6.843710435E-5
1471	-0.003421194851	--	--	1471	-3.727419607E-5
1470	-0.003457508748	--	--	1470	4.240328781E-5
1469	-0.003444103291	--	--	1469	5.405326374E-5
1468	-0.003414619947	--	--	1468	7.046732208E-5
1467	-0.003363969503	--	--	1467	1.154408747E-4
1466	-0.003346297191	--	--	1466	1.58865354E-4
1465	-0.003301547607	--	--	1465	2.00015158E-4
1464	-0.003276678966	--	--	1464	2.20656264E-4
1463	-0.00327760377	--	--	1463	2.127053158E-4
1462	-0.003267995315	--	--	1462	1.892676664E-4
1461	-0.003243998392	--	--	1461	1.921163785E-4
1460	-0.003236855613	--	--	1460	1.538675569E-4
1459	-0.003211674979	--	--	1459	1.652615756E-4
1458	-0.003188188886	--	--	1458	1.769407536E-4
1457	-0.003193225246	--	--	1457	2.53057282E-4
1456	-0.003073772416	--	--	1456	2.617342107E-4
1455	-0.003059172537	--	--	1455	2.905377187E-4
